x1_phys,x2_phys,x3_phys,x4_phys,sigma_0,sigma_1,sigma_2,sigma_3
0.6246599,4779.5186,1.7992986,7.112733,0.09894988,0.08376595,0.082350984,0.049602404
0.6212981,4555.023,2.7816534,5.8487277,0.11557598,0.0716997,0.08539884,0.057165634
0.65839976,2984.8694,0.79976225,2.9622746,0.13111989,0.12513913,0.07088885,0.07403778
0.67383873,2788.0037,2.3421257,3.1478643,0.11260387,0.14470503,0.07268436,0.061195225
0.623228,2071.4978,1.1610721,0.76581645,0.08036553,0.1385685,0.10461601,0.100108586
0.63145,2929.7278,2.9525974,2.0236423,0.13677178,0.14544493,0.059721153,0.06539976
0.677596,2342.4712,4.313002,1.9786292,0.1094814,0.13782287,0.062307358,0.077146515
0.69811416,2482.0261,2.0713978,3.7388022,0.102003686,0.07057705,0.06551053,0.039697923
0.7045819,2604.7405,2.0741,4.7090464,0.11342626,0.066167355,0.07603769,0.038287915
0.6885656,2646.735,2.2076168,4.047026,0.11189796,0.061510272,0.097819604,0.04187954
0.6547332,2973.4487,1.9083624,3.0518732,0.11850347,0.08269076,0.11129731,0.041236036
0.68675846,2673.7844,1.3210331,3.1940913,0.09123713,0.15532154,0.04964755,0.124188505
0.7072391,1751.4252,2.1149457,1.1127393,0.084696755,0.12811081,0.0773281,0.06628235
0.70290315,2322.4585,0.13157402,2.918867,0.16129443,0.100524314,0.0845752,0.07533836
0.69372123,2373.3098,0.6444664,2.636826,0.13097714,0.08377741,0.07745889,0.07981677
0.67184055,2905.1897,1.7502586,3.6348124,0.13505921,0.10641919,0.10109264,0.094799615
0.6500542,2592.291,2.611799,1.8332992,0.109286614,0.07568233,0.070474006,0.058910295
0.6428043,2673.5725,2.316457,1.9914834,0.10940492,0.082220405,0.07563546,0.06606275
0.7031405,1722.1832,2.6842706,1.0480078,0.11081393,0.06391411,0.04779392,0.07098058
0.64067614,3646.417,1.1987958,4.4666705,0.109140016,0.16526477,0.14096498,0.08258697
0.55992043,4943.328,0.62660474,3.0236995,0.1198987,0.11437377,0.09332396,0.06595806
0.6557578,2976.975,1.9418648,3.1678739,0.16493866,0.079340324,0.08608961,0.17840686
0.66905946,2749.2578,2.4310029,2.8706326,0.16526182,0.07773412,0.08861458,0.15202466
0.66282713,3236.4302,3.1011386,4.222406,0.12698066,0.09050133,0.1058179,0.12151726
0.70369005,2638.3052,0.7365811,5.0529146,0.13584758,0.09896234,0.0632631,0.11147678
0.61015314,5611.878,2.8477352,8.942973,0.093407884,0.09702079,0.13352388,0.06421171
0.6511078,3993.8923,1.5900667,7.135488,0.11664069,0.10980113,0.23644301,0.063032724
0.6645512,4035.935,1.8480054,8.812642,0.12310889,0.09545962,0.28962612,0.072147556
0.64552474,2438.79,1.9227405,1.4665726,0.26487622,0.101481885,0.04754246,0.0917276
0.64860344,1994.1685,0.38905552,0.8489747,0.21599054,0.15062788,0.07682067,0.07803553
0.589323,3313.906,1.2458346,1.6560026,0.12330703,0.09713979,0.11057416,0.044176254
0.5807593,4199.388,0.2426105,2.6650887,0.121362366,0.09493537,0.14291002,0.052399598
0.66581786,3622.0261,0.41321945,6.3520217,0.11114279,0.09891087,0.13976659,0.05922496
0.6692751,3401.1619,0.5675549,5.5505233,0.120733246,0.11583057,0.1332739,0.06417533
0.6471978,1988.3274,3.4981081,0.8340262,0.10568657,0.09180864,0.05008828,0.07057669
0.56221896,4345.276,0.9708273,2.2055547,0.15494138,0.15150748,0.11458479,0.05445147
0.6573285,4239.453,1.6986368,9.253045,0.16500215,0.08480128,0.07123885,0.13551846
0.6588754,4201.018,1.6669854,9.321316,0.16579339,0.08483891,0.07074459,0.1364907
0.6474097,4310.055,1.7721465,7.969577,0.14254771,0.08203925,0.082045555,0.15600117
0.6721421,3844.342,0.6625529,8.527116,0.18998444,0.098757915,0.090079665,0.08732015
0.65942305,4122.7036,0.2857975,8.960162,0.16070585,0.11029878,0.09635633,0.077594966
0.6457267,4047.1694,2.8382747,6.458728,0.101796016,0.11424593,0.0563446,0.07629032
0.59460217,3333.4429,1.9986908,1.7539417,0.15658695,0.15619914,0.06368071,0.097978674
0.5726463,3710.3796,2.107915,1.729611,0.1843482,0.13755658,0.05795726,0.0751069
0.6850059,1806.0807,1.482623,0.99938154,0.08409282,0.09382808,0.16156396,0.06368355
0.67487454,1991.0901,1.3040702,1.1503991,0.0783672,0.093202315,0.16625424,0.06624615
0.62336326,2589.5886,1.4298548,1.3247246,0.10453416,0.094336934,0.13331918,0.0816744
0.69068885,2215.834,2.9220002,2.0574138,0.093453795,0.1276291,0.0694819,0.07440064
0.69074327,2270.091,2.7876856,2.179861,0.0967045,0.12655497,0.07173154,0.07485931
0.6123038,2092.3308,2.404866,0.6856116,0.12111516,0.10880782,0.09479055,0.051951006
0.5726968,2317.672,2.1428359,0.58125323,0.111599,0.09589036,0.057322286,0.09084831
0.58818763,1667.0277,2.2052703,0.31524336,0.1255027,0.09815754,0.08564072,0.098699465
0.624445,1494.8499,1.4157252,0.35487974,0.12860207,0.07887088,0.08144879,0.068463214
0.6635273,1715.3729,1.5777426,0.6631451,0.1488862,0.10612493,0.073542126,0.0994331
0.63052523,2480.7952,1.7109919,1.281326,0.118230015,0.09342922,0.11399055,0.1344682
0.69297373,3365.0278,1.3293839,8.266977,0.123230904,0.10721588,0.06678439,0.07335836
0.60281694,3302.5513,3.7313495,1.8866383,0.15315358,0.07627005,0.0881236,0.07404634
0.5960686,2973.4094,3.0041409,1.3523903,0.12414143,0.11668105,0.06682223,0.093539104
0.6289063,5658.194,2.0922089,11.073692,0.09331384,0.099721886,0.09540518,0.07857281
0.6790579,3695.1484,0.6888566,9.651754,0.1460666,0.10662664,0.06114304,0.059792433
0.6372397,2962.7478,2.8604982,2.0813992,0.118321724,0.12312533,0.08842127,0.08300221
0.5670396,1465.353,1.4607623,0.22740602,0.117657274,0.099324726,0.09713215,0.08033866
0.6090932,2412.0283,2.7934864,1.033487,0.10573329,0.09695344,0.1714109,0.1279279
0.64190376,3708.7114,2.2093863,4.5248985,0.09358318,0.073353164,0.09727641,0.12603572
