x1_phys,x2_phys,x3_phys,x4_phys,sigma_0,sigma_1,sigma_2,sigma_3
0.62685347,2639.0073,1.1511712,1.6671696,0.11666792,0.07976884,0.09838927,0.069083944
0.5448598,3622.058,2.0420413,1.3572999,0.1951317,0.06362474,0.057673305,0.03292767
0.7346041,1374.5604,1.6777332,0.84989756,0.14386629,0.055987235,0.2684888,0.047717147
0.7271529,1466.9381,1.5083003,0.9154823,0.13300928,0.055702295,0.2791893,0.049425624
0.5556097,4052.8298,2.351713,2.1125615,0.066759154,0.067853376,0.17635733,0.1027068
0.69308954,3429.853,2.4034843,9.874921,0.06316166,0.16543603,0.07182426,0.032617427
0.62775093,2807.0916,1.7143322,1.887959,0.036972046,0.1309009,0.033768777,0.047724225
0.6643968,3009.4434,1.484684,3.3915446,0.03638632,0.12894008,0.03237443,0.057117693
0.63329667,3794.8638,3.2127345,4.559838,0.04323776,0.11413942,0.034257367,0.077071466
0.65207267,3019.5264,0.895878,3.1212254,0.046329796,0.09061436,0.0878021,0.028122874
0.73246145,1725.7509,0.8169573,1.9006097,0.060878348,0.05143027,0.06456162,0.036118176
0.7152655,1782.745,0.84192413,1.8266513,0.057464294,0.046709843,0.06745446,0.032010045
0.5466829,2376.1252,3.3757915,0.6456492,0.047527783,0.07675321,0.22785085,0.19864286
0.59933615,1534.6838,0.76351804,0.33129886,0.06264108,0.06744331,0.116991,0.08046788
0.5088462,1779.6542,2.79097,0.23910043,0.08403083,0.0490396,0.1393907,0.08872481
0.6628355,2357.2192,0.5532114,1.7965493,0.043708693,0.124791436,0.032029252,0.12208487
0.66467345,4439.6855,0.17955205,11.145699,0.0970948,0.062345754,0.33699226,0.07354034
0.65547943,4015.827,0.22343889,7.147439,0.110190354,0.112282574,0.0430801,0.080712646
0.6132376,2646.426,0.93244374,1.4145744,0.100214064,0.13901407,0.056663472,0.09699884
0.5180968,1231.2255,3.4885578,0.09165264,0.10057794,0.048681535,0.035154834,0.14759763
0.5876172,5949.3687,0.87887317,8.630035,0.05369536,0.07550727,0.33491376,0.22554174
0.60066545,5680.876,2.274647,9.383031,0.0471158,0.054001287,0.28399435,0.28675464
0.6042899,5959.931,1.86329,11.094678,0.04806382,0.06758449,0.21612215,0.31680295
0.60868627,5860.4204,1.8685735,10.874367,0.046042033,0.06562977,0.20110336,0.26947692
0.5838713,1114.77,1.8530204,0.14026675,0.18667984,0.06348612,0.051698733,0.04835336
0.43221816,1284.281,0.74403733,0.03410281,0.12331011,0.07351327,0.051550888,0.17438765
0.41082618,1183.798,2.2052388,0.016404267,0.10231389,0.08901411,0.15680411,0.14412297
0.3845579,1359.5537,1.8378366,0.023214038,0.15445319,0.108604215,0.07578283,0.10320534
0.58459777,2781.2783,3.688459,1.1817297,0.10848693,0.20915185,0.05758062,0.037952606
0.66031075,2336.0786,1.2930089,1.6086216,0.046619404,0.5246412,0.10048142,0.076554656
0.6491635,2585.3933,2.3278637,2.043645,0.109548084,0.1414686,0.04289126,0.032174006
0.76265216,1704.4807,1.1262887,2.8796055,0.059155922,0.13277662,0.039629325,0.062532
0.6043503,2803.8506,2.5260596,1.5797982,0.13156882,0.03229968,0.06613739,0.12032651
0.5483699,1832.4601,2.8591003,0.31912363,0.044203997,0.18401507,0.069488995,0.045832753
0.6570605,4169.4565,1.8435315,9.778034,0.13819447,0.052375965,0.05118481,0.05296611
0.6715824,2947.1838,1.0394232,4.2419066,0.08298733,0.09021717,0.06257391,0.089084454
0.6400135,3370.3823,3.780975,3.6200986,0.06558485,0.053252492,0.06281895,0.060092866
0.5544583,1917.9569,1.3402869,0.3776003,0.14349961,0.032380283,0.07854934,0.10339929
0.5300177,2204.194,1.5972403,0.45748317,0.16863476,0.03927996,0.11171504,0.1033634
